 ,Check Number,Description,Location,Amount,,Category,Comment,,,Category
8/8/2016,,TELLER DEPOSIT Aug 06 02:14,"250 UNIVERS AV, PALO ALTO, CA",92,,Income,,,,
8/8/2016,,BANKCARD DEPOSITSETTLEMENT080816,ACH Electronic Credit,20.76,,Income,,,,
8/8/2016,,Square Inc 160808A2 080816,ACH Electronic Credit,0.49,,POS Fees,Square POS Setup,,,
8/8/2016,,Square Inc 160808A2 080816M1139244008,OTHER DECREASE,-0.49,,POS Fees,Square POS Setup,,,
8/8/2016,129,CHECK 129,,-26,,Food Cost,,,,
8/8/2016,,DEBIT PIN PURCHASE,RESTAURANT DEPOT SAN FRANCISCOCAUS0215,-134.08,,Food Cost,,,,
8/5/2016,,BANKCARD DEPOSITSETTLEMENT080516,ACH Electronic Credit,771,,Income,,,,
8/5/2016,,TELLER WITHDRAWAL,,"-3,000.00",,Cash Wage,July P2. Cash. $810 to Austin. $1020 to Enrique. $160 to Sonic. $365 to Owen. $185 to Arthur. $64 to Jada. $330 to Nid. So total is 2934. Kenneth should have the remaining $66,,,
8/4/2016,,BANKCARD DEPOSITSETTLEMENT080416,ACH Electronic Credit,508.45,,Income,,,,
8/4/2016,107,CHECK 107,,-951.11,,Payroll,To Enrique Iglesias for July P2 2016,,,
8/3/2016,,BANKCARD DEPOSITSETTLEMENT080316,ACH Electronic Credit,536.33,,Income,,,,
8/3/2016,,IRS USATAXPYMT0803162276616660834,OTHER DECREASE,-18.64,,Tax ,July P2,,,
8/3/2016,,IRS USATAXPYMT0803162276616660834,OTHER DECREASE,-668.7,,Tax ,July P2,,,
8/2/2016,,Payroll Tax 0802167312012,OTHER DECREASE,-54.72,,Tax ,July P2,,,
8/2/2016,,Payroll PAYROLL 0802167312012,OTHER DECREASE,-88.71,,Payroll,July P2. Lauren. Direct Deposit,,,
8/2/2016,,Payroll Tax 0802167312012,OTHER DECREASE,-108.72,,Tax ,July P2,,,
8/2/2016,,Payroll PAYROLL 0802167312012,OTHER DECREASE,-276.04,,Payroll,July P2. Nid. Direct Deposit,,,
8/2/2016,,Payroll PAYROLL 0802167312012,OTHER DECREASE,-327.12,,Payroll,July P2. Vincent,,,
8/2/2016,10008,CRYSTAL SPRINGS MUSICH LP,Reference# 10008,-808.57,,Rent - storage,July 2016,,,
8/2/2016,,Payroll PAYROLL 0802167312012,OTHER DECREASE,-977.82,,Payroll,July P2. Austin. Direct Deposit,,,
8/2/2016,105,CHECK 105,,"-1,020.00",,Payroll,July P2. Enrique. Direct Deposit (Supposely),,,
8/1/2016,,BANKCARD DEPOSITSETTLEMENT080116,ACH Electronic Credit,"1,266.39",,Income,,,,
8/1/2016,,BANKCARD DEPOSITSETTLEMENT080116,ACH Electronic Credit,"1,143.39",,Income,,,,
8/1/2016,,DEPOSIT,PAYMENT/TRANSFER 010003 DA,808.57,,Rent - storage,July 2016 got rejected for some reason. And 808.57 was refunded back,,,
8/1/2016,,BANKCARD DEPOSITSETTLEMENT080116,ACH Electronic Credit,578.93,,Income,,,,
8/1/2016,,BANKCARD DEPOSITFEES 0801160009122000682,OTHER DECREASE,-565.84,,POS Fees,POS to X. Credit Card Transaction,,,
,,,,,,,,,,
,,,,,,,,,,
8/31/2016,,COSTCO WHSE #0143 MOUNTAIN VIEWCAExpand Details,,-17.07,,Food Cost,,,,
8/31/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-9.96,,Food Cost,,,,
8/30/2016,,SMARTNFINAL45311004538 SAN MATEO CAExpand Details,,-19.98,,Food Cost,,,,
8/30/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-444.8,,Food Cost,,,,
8/28/2016,,MIN MIN POT SAN JOSE CAExpand Details,,-55,,Meal & Entertainment,,,,
8/27/2016,,HIMAWARI TEI SAN MATEO CAExpand Details,,-90,,Meal & Entertainment,,,,
8/26/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-5.69,,Food Cost,,,,
8/26/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-519.16,,Food Cost,,,,
8/26/2016,,FIORELLOS INC 415-4598004 CAExpand Details,,-80.85,,Ice Cream,,,,
8/25/2016,,SQUARESPACE INC. 6465803456 NYExpand Details,,11.6,,Website,,,,
8/25/2016,,SQUARESPACE INC. 6465803456 NYExpand Details,,14.4,,Website,,,,
8/25/2016,,SQUARESPACE INC. 6465803456 NYExpand Details,,14.4,,Website,,,,
8/25/2016,,SQUARESPACE INC. 6465803456 NYExpand Details,,-11.6,,Website,,,,
8/25/2016,,SQUARESPACE INC. 6465803456 NYExpand Details,,-14.4,,Website,,,,
8/25/2016,,SQUARESPACE INC. 6465803456 NYExpand Details,,-144,,Website,,,,
8/24/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-5.26,,Food Cost,,,,
8/24/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-466,,Food Cost,,,,
8/24/2016,,POS PORTAL 916-9934200 CAExpand Details,,-209.9,,POS Fees,,,,
8/23/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-5.99,,Food Cost,,,,
8/23/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-8.98,,Food Cost,,,,
8/21/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-4.48,,Food Cost,,,,
8/20/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-6.99,,Food Cost,,,,
8/19/2016,,FIORELLOS INC 415-4598004 CAExpand Details,,-108.04,,Ice Cream,,,,
8/18/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-11.29,,Food Cost,,,,
8/17/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-1,,Food Cost,,,,
8/17/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-2.15,,Food Cost,,,,
8/16/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-2.82,,Food Cost,,,,
8/13/2016,,SMARTNFINAL45311004538 SAN MATEO CAExpand Details,,-16.97,,Food Cost,,,,
8/13/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-474.64,,Food Cost,,,,
8/12/2016,,PAY BY PHONE ACH PAYMENTExpand Details,,5057.65,,Credit Card Payment,Paid to credit card,,,
8/11/2016,,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAExpand Details,,-9.99,,Office Supplies,,,,
8/10/2016,,SMARTNFINAL45311004538 SAN MATEO CAExpand Details,,-16.78,,Food Cost,,,,
8/10/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-3.98,,Food Cost,,,,
8/10/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-336.64,,Food Cost,,,,
8/10/2016,,MARINA FOOD #1 SAN MATEO CAExpand Details,,-15.66,,Food Cost,,,,
8/8/2016,,POS PORTAL 916-9934200 CAExpand Details,,-283.57,,POS Fees,,,,
8/6/2016,,"ONLINE PAYMENT, THANK YOUExpand Details",,3634.88,,Credit Card Payment,Paid to credit card but bounced back,,,
8/6/2016,,1080616 CLK2PAY RTN R03-UNABLE TO LOCExpand Details,,-3634.88,,Credit Card Payment,Paid to credit card but bounced back,,,
8/6/2016,,SMARTNFINAL45311004538 SAN MATEO CAExpand Details,,-51.03,,Food Cost,,,,
8/6/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-414.06,,Food Cost,,,,
8/6/2016,,CRAIGSLIST.ORG 415-399-5200 CAExpand Details,,-75,,Advertising and Promotion,,,,
8/6/2016,,COMCAST CALIFORN CS 1X 800-266-2278 CAExpand Details,,-98.37,,Internet,,,,
8/5/2016,,FIORELLOS INC 415-4598004 CAExpand Details,,-80.85,,Ice Cream,,,,
8/5/2016,,DNH*GODADDY.COM 480-5058855 AZExpand Details,,-4,,Website,,,,
8/4/2016,,OFFICE DEPOT #802 SAN MATEO CAExpand Details,,-62.47,,Office Supplies,,,,
8/3/2016,,SMARTNFINAL45311004538 SAN MATEO CAExpand Details,,-19.99,,Food Cost,,,,
8/3/2016,,SAFEWAY STORE00006395 SAN MATEO CAExpand Details,,-9.96,,Food Cost,,,,
8/3/2016,,COSTCO WHSE #0147 FOSTER CITY CAExpand Details,,-392.35,,Food Cost,,,,
8/3/2016,,MEMBERSHIP FEE AUG 16-JUL 17Expand Details,,0,,,,,,
8/2/2016,,POS PORTAL 916-9934200 CAExpand Details,,-219.02,,POS Fees,,,,
8/2/2016,,CRYSTAL SPRINGS PRODUC SAN MATEO CAExpand Details,,-6.35,,Food Cost,,,,
